,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,longitude,latitude,sell_year
1255230,"Sankt Jørgens Gade 8, 4. TH",9000 Aalborg,350000,1992-10-13,Alm. Salg,5555.0,2.0,Lejlighed,63.0,1970.0,0.0,,,1992
1255231,Mågevej 25,9000 Aalborg,490000,1992-10-13,Alm. Salg,3475.0,6.0,Villa,141.0,1934.0,0.0,,,1992
1255232,Hasserisvej 259,9000 Aalborg,560000,1992-08-10,Alm. Salg,,6.0,Rækkehus,135.0,1954.0,0.0,,,1992
1255233,"Malurtvej 10, 1. TV",9000 Aalborg,370000,1992-08-10,Alm. Salg,4512.0,3.0,Lejlighed,82.0,1975.0,0.0,,,1992
1255234,Thorsens Alle 20,9000 Aalborg,475000,1992-07-10,Alm. Salg,,5.0,Villa,122.0,1954.0,0.0,,,1992
1255235,Forchhammersvej 46,9000 Aalborg,670000,1992-07-10,Alm. Salg,4785.0,6.0,Villa,140.0,1919.0,0.0,,,1992
1255236,Egholm 21,9000 Aalborg,550000,1992-06-10,Alm. Salg,5288.0,3.0,Stuehus,104.0,1952.0,0.0,,,1992
1255237,Max Henius Vej 10,9000 Aalborg,604687,1992-09-30,Alm. Salg,4687.0,4.0,Villa,129.0,1931.0,0.0,,,1992
1255238,Grønnegade 37,9000 Aalborg,248365,1992-09-25,Alm. Salg,2052.0,4.0,Villa,121.0,1910.0,0.0,,,1992
1255239,"Sofievej 134, 1",9000 Aalborg,360000,1992-09-24,Alm. Salg,4186.0,3.0,Lejlighed,86.0,1963.0,0.0,,,1992
1255240,Nældevej 50,9000 Aalborg,675000,1992-09-24,Fam. Salg,2636.0,5.0,Stuehus,256.0,1927.0,0.0,,,1992
1255241,Mariehønevej 28,9000 Aalborg,222718,1992-09-22,Alm. Salg,4283.0,3.0,Sommerhus,52.0,1984.0,0.0,,,1992
1255242,Steenstrupsvej 22,9000 Aalborg,801600,1992-09-22,Alm. Salg,,5.0,Villa,137.0,1924.0,0.0,,,1992
1255243,Bernstorffsgade 39,9000 Aalborg,650000,1992-09-21,Alm. Salg,7222.0,3.0,Villa,90.0,1935.0,0.0,,,1992
1255244,Mester Eriks Vej 25,9000 Aalborg,716000,1992-09-17,Alm. Salg,4022.0,7.0,Villa,178.0,1939.0,0.0,,,1992
1255245,Strøybergsvej 60,9000 Aalborg,725000,1992-09-17,Alm. Salg,2911.0,5.0,Villa,249.0,1995.0,0.0,,,1992
1255246,Bernstorffsgade 81,9000 Aalborg,510000,1992-09-14,Alm. Salg,,3.0,Villa,80.0,1956.0,0.0,,,1992
1255247,Nørholmsvej 196,9000 Aalborg,1425000,1992-09-14,Alm. Salg,5700.0,6.0,Stuehus,250.0,2011.0,0.0,,,1992
1255248,Haraldsvej 20,9000 Aalborg,746000,1992-09-13,Alm. Salg,6486.0,3.0,Villa,115.0,1963.0,0.0,,,1992
1255249,"Årestrupsvej 20, 2. TH",9000 Aalborg,158103,1992-10-09,Alm. Salg,1838.0,3.0,Lejlighed,86.0,1967.0,0.0,,,1992
1255250,Kjærs Mølle Vej 8,9000 Aalborg,750000,1992-10-09,Alm. Salg,4838.0,6.0,Villa,155.0,1935.0,0.0,,,1992
1255251,"Sankt Jørgens Gade 8, 4. MF",9000 Aalborg,286471,1992-07-09,Alm. Salg,5025.0,2.0,Lejlighed,57.0,1970.0,0.0,,,1992
1255252,Vonsyldsgade 38,9000 Aalborg,750000,1992-04-09,Alm. Salg,7653.0,5.0,Villa,98.0,1929.0,0.0,,,1992
1255253,Skovgårdsvej 20,9000 Aalborg,645000,1992-03-09,Alm. Salg,5608.0,4.0,Villa,115.0,1959.0,0.0,,,1992
1255254,Hadsundvej 178,9000 Aalborg,394000,1992-01-09,Alm. Salg,3581.0,5.0,Villa,110.0,1925.0,0.0,,,1992
1255255,Vonsyldsgade 53,9000 Aalborg,361000,1992-08-30,Alm. Salg,,4.0,Villa,127.0,1924.0,0.0,,,1992
1255256,Geskevej 10,9000 Aalborg,570000,1992-08-26,Alm. Salg,,6.0,Villa,150.0,1959.0,0.0,,,1992
1255257,Martinus Rørbyes Vej 18,9000 Aalborg,325000,1992-08-26,Alm. Salg,,5.0,Villa,180.0,1959.0,0.0,,,1992
1255258,Thorsgade 33,9000 Aalborg,560000,1992-08-26,Alm. Salg,3835.0,6.0,Villa,146.0,1925.0,0.0,,,1992
1255259,Oluf Borchs Vej 21,9000 Aalborg,760000,1992-08-24,Alm. Salg,7307.0,4.0,Villa,104.0,1935.0,0.0,,,1992
1255260,Guldborgvej 10,9000 Aalborg,1167000,1992-08-23,Alm. Salg,6142.0,7.0,Villa,190.0,1987.0,0.0,,,1992
1255261,Skovbakkevej 17,9000 Aalborg,1027000,1992-08-23,Alm. Salg,4754.0,5.0,Villa,216.0,1941.0,0.0,,,1992
1255262,"Malurtvej 8, ST. TV",9000 Aalborg,360000,1992-08-23,Alm. Salg,4137.0,3.0,Lejlighed,87.0,1975.0,0.0,,,1992
1255263,Oberst Myhres Vej 14,9000 Aalborg,586433,1992-08-20,Andet,4511.0,6.0,Villa,130.0,1958.0,0.0,,,1992
1255264,Filippavej 13,9000 Aalborg,630000,1992-08-18,Alm. Salg,,4.0,Villa,147.0,1974.0,0.0,,,1992
1255265,Gravenstenvej 33,9000 Aalborg,725000,1992-08-18,Alm. Salg,3737.0,6.0,Villa,194.0,1977.0,0.0,,,1992
1255266,Kornblomstvej 73,9000 Aalborg,614700,1992-08-14,Alm. Salg,5392.0,4.0,Villa,114.0,1953.0,0.0,,,1992
1255267,Sønder Alle 7,9000 Aalborg,577200,1992-08-13,Alm. Salg,,6.0,Villa,154.0,1929.0,0.0,,,1992
1255268,Mispelvej 9,9000 Aalborg,826358,1992-12-08,Alm. Salg,6031.0,4.0,Villa,137.0,1985.0,0.0,,,1992
1255269,Moltkesvej 8,9000 Aalborg,595000,1992-07-08,Alm. Salg,4576.0,4.0,Villa,130.0,1926.0,0.0,,,1992
1255270,"Poul Paghs Gade 6E, 1. TV",9000 Aalborg,425000,1992-07-08,Alm. Salg,4941.0,3.0,Lejlighed,86.0,1910.0,0.0,,,1992
1255271,Falkevej 2,9000 Aalborg,770000,1992-05-08,Alm. Salg,,4.0,Villa,147.0,1933.0,0.0,,,1992
1255272,Edderkopvej 6,9000 Aalborg,36000,1992-07-30,Alm. Salg,500.0,3.0,Sommerhus,72.0,2001.0,0.0,,,1992
1255273,Bernstorffsgade 3,9000 Aalborg,331900,1992-07-29,Alm. Salg,2963.0,4.0,Villa,112.0,1928.0,0.0,,,1992
1255274,Kong Christians Alle 42,9000 Aalborg,1265000,1992-07-29,Alm. Salg,5776.0,8.0,Villa,219.0,1932.0,0.0,,,1992
1255275,"Helgolandsgade 3, 2. TV",9000 Aalborg,263000,1992-07-21,Alm. Salg,4457.0,2.0,Lejlighed,59.0,1940.0,0.0,,,1992
1255276,Ryttervænget 1,9000 Aalborg,615000,1992-07-20,Alm. Salg,5394.0,5.0,Rækkehus,114.0,1909.0,0.0,,,1992
1255277,Strøybergsvej 47,9000 Aalborg,850000,1992-07-19,Alm. Salg,6071.0,4.0,Villa,140.0,1968.0,0.0,,,1992
1255278,"Europa Plads 4B, 4",9000 Aalborg,255000,1992-07-13,Alm. Salg,4180.0,2.0,Lejlighed,61.0,1932.0,0.0,,,1992
1255279,Frydendalsvej 13,9000 Aalborg,300000,1992-11-07,Fam. Salg,,5.0,Villa,120.0,1938.0,0.0,,,1992
1255280,Bakkevænget 2,9000 Aalborg,965000,1992-08-07,Alm. Salg,6892.0,5.0,Villa,140.0,1935.0,0.0,,,1992
1255281,"Sofievej 58, ST",9000 Aalborg,302000,1992-08-07,Alm. Salg,3145.0,3.0,Lejlighed,96.0,1963.0,0.0,,,1992
1255282,Kirkedalsvej 14,9000 Aalborg,700000,1992-07-07,Alm. Salg,5263.0,5.0,Villa,133.0,1929.0,0.0,,,1992
1255283,Anders Borks Vej 10,9000 Aalborg,423248,1992-03-07,Alm. Salg,2802.0,7.0,Villa,151.0,1928.0,0.0,,,1992
1255284,Enggårdsgade 64,9000 Aalborg,279460,1992-01-07,Alm. Salg,1954.0,4.0,Villa,143.0,1973.0,0.0,,,1992
1255285,Nørholmsvej 122,9000 Aalborg,465000,1992-01-07,Alm. Salg,,7.0,Villa,154.0,1942.0,0.0,,,1992
1255286,"Nørregade 28, 2",9000 Aalborg,895000,1992-06-30,Alm. Salg,4201.0,6.0,Lejlighed,213.0,1911.0,0.0,,,1992
1255287,Tovesvej 20,9000 Aalborg,440000,1992-06-25,Alm. Salg,,6.0,Villa,166.0,1930.0,0.0,,,1992
1255288,Th. Sauers Vej 88,9000 Aalborg,620000,1992-06-25,Alm. Salg,6262.0,5.0,Rækkehus,99.0,1987.0,0.0,,,1992
1255289,Kirkedalsvej 3,9000 Aalborg,248952,1992-06-25,Fam. Salg,2203.0,4.0,Villa,113.0,1927.0,0.0,,,1992
1255290,Vibevej 20,9000 Aalborg,293556,1992-06-25,Alm. Salg,1649.0,4.0,Villa,178.0,1972.0,0.0,,,1992
1255291,Kong Christians Alle 24,9000 Aalborg,810000,1992-06-25,Alm. Salg,5472.0,5.0,Villa,148.0,1965.0,0.0,,,1992
1255292,Kovshøjsvej 13,9000 Aalborg,785000,1992-06-24,Alm. Salg,5451.0,5.0,Villa,144.0,1927.0,0.0,,,1992
1255293,Nældevej 42,9000 Aalborg,400000,1992-06-22,Alm. Salg,3252.0,4.0,Stuehus,123.0,1992.0,0.0,,,1992
1255294,Østervangsvej 6,9000 Aalborg,633000,1992-06-18,Alm. Salg,6734.0,4.0,Villa,94.0,1925.0,0.0,,,1992
1255295,"Steen Blichers Gade 6, 3. TH",9000 Aalborg,460000,1992-06-17,Alm. Salg,,3.0,Lejlighed,87.0,1914.0,0.0,,,1992
1255296,Skovtoften 4,9000 Aalborg,795000,1992-06-16,Alm. Salg,4704.0,8.0,Villa,169.0,1963.0,0.0,,,1992
1255297,"Sofievej 98, 1",9000 Aalborg,235000,1992-04-06,Alm. Salg,3357.0,2.0,Lejlighed,70.0,1963.0,0.0,,,1992
1255298,"Poul Paghs Gade 27, ST. TH",9000 Aalborg,335000,1992-02-06,Alm. Salg,5583.0,2.0,Lejlighed,60.0,1910.0,0.0,,,1992
1255299,Kærbyparken 14,9000 Aalborg,660000,1992-02-06,Alm. Salg,6055.0,4.0,Rækkehus,109.0,1980.0,0.0,,,1992
1255300,Vossvej 15,9000 Aalborg,255000,1992-01-06,Fam. Salg,2475.0,4.0,Rækkehus,103.0,1961.0,0.0,,,1992
1255301,Hasserisvej 249,9000 Aalborg,825000,1992-01-06,Alm. Salg,7710.0,4.0,Rækkehus,107.0,1956.0,0.0,,,1992
1255302,Betavej 3,9000 Aalborg,900000,1992-05-29,Alm. Salg,6081.0,6.0,Villa,148.0,1989.0,0.0,,,1992
1255303,Rafns Alle 3,9000 Aalborg,1550000,1992-05-29,Alm. Salg,5065.0,7.0,Villa,306.0,1911.0,0.0,,,1992
1255304,Nordvestvej 5,9000 Aalborg,325000,1992-05-26,Alm. Salg,1911.0,7.0,Villa,170.0,1930.0,0.0,,,1992
1255305,Kovshøjsvej 18,9000 Aalborg,812500,1992-05-25,Alm. Salg,,8.0,Villa,156.0,1926.0,0.0,,,1992
1255306,Hindbærvej 20,9000 Aalborg,730000,1992-05-24,Alm. Salg,5000.0,5.0,Villa,146.0,1972.0,0.0,,,1992
1255307,Skovbrynet 6,9000 Aalborg,1300000,1992-05-22,Alm. Salg,,4.0,Villa,247.0,1933.0,0.0,,,1992
1255308,Blommevænget 21,9000 Aalborg,742459,1992-05-18,Alm. Salg,4611.0,4.0,Villa,161.0,1971.0,0.0,,,1992
1255309,Ingridsvej 13,9000 Aalborg,800000,1992-08-05,Fam. Salg,4938.0,5.0,Villa,162.0,1933.0,0.0,,,1992
1255310,"Jakob Skomager Vej 6, ST. TV",9000 Aalborg,670750,1992-07-05,Alm. Salg,5732.0,4.0,Lejlighed,117.0,1977.0,0.0,,,1992
1255311,Kildevældsvej 13,9000 Aalborg,431750,1992-03-05,Fam. Salg,3754.0,4.0,Villa,115.0,1927.0,0.0,,,1992
1255312,Lundsgårdsgade 2A,9000 Aalborg,835000,1992-04-30,Alm. Salg,7660.0,5.0,Villa,109.0,1924.0,0.0,,,1992
1255313,Stolpedalsvej 47,9000 Aalborg,658000,1992-04-30,Alm. Salg,5061.0,6.0,Villa,130.0,1965.0,0.0,,,1992
1255314,Deltavej 28,9000 Aalborg,1027840,1992-04-29,Alm. Salg,7967.0,4.0,Villa,129.0,1991.0,0.0,,,1992
1255315,Kærbyparken 26,9000 Aalborg,610624,1992-04-29,Alm. Salg,5706.0,4.0,Rækkehus,107.0,1980.0,0.0,,,1992
1255316,Valmuemarken 45,9000 Aalborg,645809,1992-04-29,Alm. Salg,,5.0,Villa,136.0,1959.0,0.0,,,1992
1255317,Folehavevej 14,9000 Aalborg,760000,1992-04-24,Alm. Salg,6229.0,6.0,Villa,122.0,1954.0,0.0,,,1992
1255318,Agnetevej 13,9000 Aalborg,1100000,1992-04-24,Alm. Salg,5500.0,6.0,Villa,200.0,1962.0,0.0,,,1992
1255319,Østervangsvej 17,9000 Aalborg,390000,1992-04-22,Alm. Salg,5652.0,4.0,Villa,69.0,1926.0,0.0,,,1992
1255320,Lindskovvej 45,9000 Aalborg,595000,1992-04-22,Alm. Salg,4877.0,4.0,Villa,122.0,1967.0,0.0,,,1992
1255321,Carl Plougs Vej 3,9000 Aalborg,572000,1992-04-21,Fam. Salg,2723.0,5.0,Villa,210.0,1970.0,0.0,,,1992
1255322,M.A. Schultz Vej 7,9000 Aalborg,1040000,1992-04-15,Alm. Salg,,10.0,Villa,220.0,1933.0,0.0,,,1992
1255323,Gravenstenvej 4,9000 Aalborg,695000,1992-04-13,Alm. Salg,5346.0,5.0,Villa,130.0,1977.0,0.0,,,1992
1255324,Ternevej 14A,9000 Aalborg,450000,1992-04-13,Andet,3571.0,4.0,Villa,126.0,1963.0,0.0,,,1992
1255325,Vester Vænge Alle 29,9000 Aalborg,470000,1992-07-04,Alm. Salg,4159.0,2.0,Villa,113.0,1954.0,0.0,,,1992
1255326,Skolemestervej 19,9000 Aalborg,615000,1992-05-04,Fam. Salg,3843.0,4.0,Villa,160.0,1965.0,0.0,,,1992
1255327,Toften 48,9000 Aalborg,880000,1992-01-04,Alm. Salg,5146.0,5.0,Villa,171.0,1973.0,0.0,,,1992
1255328,Slåenvej 6,9000 Aalborg,320000,1992-03-31,Fam. Salg,1767.0,6.0,Villa,181.0,1969.0,0.0,,,1992
1255329,Christen Kolds Vej 2,9000 Aalborg,615000,1992-03-27,Alm. Salg,,5.0,Villa,138.0,1934.0,0.0,,,1992
1255330,Eckersbergsvej 25,9000 Aalborg,515000,1992-03-23,Alm. Salg,4951.0,3.0,Rækkehus,104.0,1962.0,0.0,,,1992
1255331,Magsvej 14,9000 Aalborg,520000,1992-03-23,Alm. Salg,3687.0,5.0,Villa,141.0,1928.0,0.0,,,1992
1255332,Eriksvej 15,9000 Aalborg,400000,1992-03-19,Alm. Salg,5405.0,2.0,Villa,74.0,1950.0,0.0,,,1992
1255333,"Jakob Skomager Vej 1, ST. TH",9000 Aalborg,1026000,1992-03-16,Alm. Salg,6885.0,3.0,Lejlighed,149.0,1970.0,0.0,,,1992
1255334,Schleppegrellsgade 26,9000 Aalborg,260000,1992-03-14,Alm. Salg,1529.0,6.0,Rækkehus,170.0,1920.0,0.0,,,1992
1255335,Ny Kærvej 7,9000 Aalborg,664300,1992-11-03,Alm. Salg,4848.0,5.0,Villa,137.0,1939.0,0.0,,,1992
1255336,"Provstejorden 4, 2. TH",9000 Aalborg,460857,1992-11-03,Alm. Salg,5358.0,3.0,Lejlighed,86.0,1954.0,0.0,,,1992
1255337,Nørholmsvej 191,9000 Aalborg,425000,1992-10-03,Alm. Salg,,3.0,Stuehus,99.0,1902.0,0.0,,,1992
1255338,Mispelvej 40,9000 Aalborg,760000,1992-09-03,Alm. Salg,3551.0,6.0,Villa,214.0,1968.0,0.0,,,1992
1255339,"Reberbansgade 62, 2. TV",9000 Aalborg,126000,1992-09-03,Auktion,,2.0,Lejlighed,48.0,1896.0,0.0,,,1992
1255340,Kærvangs Alle 14A,9000 Aalborg,325000,1992-05-03,Alm. Salg,3250.0,3.0,Lejlighed,100.0,1928.0,0.0,,,1992
1255341,Carl Plougs Vej 8,9000 Aalborg,720000,1992-02-27,Fam. Salg,4044.0,6.0,Villa,178.0,1970.0,0.0,,,1992
1255342,"H. C. Andersens Vej 10, 2. MF",9000 Aalborg,235000,1992-02-24,Alm. Salg,4351.0,2.0,Lejlighed,54.0,1967.0,0.0,,,1992
1255343,Toften 25,9000 Aalborg,728000,1992-02-22,Alm. Salg,4359.0,6.0,Villa,167.0,1972.0,0.0,,,1992
1255344,Herskindsgade 20,9000 Aalborg,570000,1992-02-20,Fam. Salg,3701.0,5.0,Villa,154.0,1900.0,0.0,,,1992
1255345,Riishøjsvej 107,9000 Aalborg,235000,1992-02-20,Fam. Salg,1620.0,5.0,Villa,145.0,1946.0,0.0,,,1992
1255346,"Borgmestervænget 4, 1. TV",9000 Aalborg,350000,1992-02-19,Alm. Salg,5223.0,2.0,Lejlighed,67.0,1934.0,0.0,,,1992
1255347,Nybovej 20,9000 Aalborg,635000,1992-02-19,Fam. Salg,5879.0,5.0,Villa,108.0,1972.0,0.0,,,1992
1255348,Sønder Alle 52,9000 Aalborg,560000,1992-02-19,Alm. Salg,,4.0,Villa,126.0,1964.0,0.0,,,1992
1255349,Magnoliavej 68,9000 Aalborg,605000,1992-02-18,Alm. Salg,5500.0,4.0,Villa,110.0,1962.0,0.0,,,1992
1255350,Østervangsvej 5,9000 Aalborg,640000,1992-02-18,Alm. Salg,4923.0,5.0,Villa,130.0,1929.0,0.0,,,1992
1255351,"Østerbro 57, 2. TH",9000 Aalborg,270000,1992-02-17,Alm. Salg,4029.0,2.0,Lejlighed,67.0,1934.0,0.0,,,1992
1255352,Nørre Tranders Vej 45,9000 Aalborg,585000,1992-02-14,Alm. Salg,3774.0,7.0,Villa,155.0,1925.0,0.0,,,1992
1255353,"Skovbakkevej 16A, 1",9000 Aalborg,1050000,1992-02-14,Alm. Salg,7446.0,4.0,Lejlighed,141.0,1909.0,0.0,,,1992
1255354,"H. C. Andersens Vej 4, 2. TH",9000 Aalborg,350000,1992-12-02,Alm. Salg,4069.0,3.0,Lejlighed,86.0,1967.0,0.0,,,1992
1255355,Jens Baggesens Vej 12,9000 Aalborg,655000,1992-12-02,Fam. Salg,4548.0,5.0,Villa,144.0,1971.0,0.0,,,1992
1255356,Øster Sundby Vej 14,9000 Aalborg,395000,1992-10-02,Alm. Salg,3590.0,3.0,Villa,110.0,1900.0,0.0,,,1992
1255357,Paludan Müllers Vej 3,9000 Aalborg,291000,1992-08-02,Alm. Salg,2487.0,3.0,Villa,117.0,1964.0,0.0,,,1992
1255358,Lindskovvej 24A,9000 Aalborg,675000,1992-06-02,Alm. Salg,4687.0,5.0,Villa,144.0,1973.0,0.0,,,1992
1255359,Ferskenvej 36,9000 Aalborg,550000,1992-06-02,Alm. Salg,3395.0,5.0,Villa,162.0,1971.0,0.0,,,1992
1255360,Sannasvej 6,9000 Aalborg,1060000,1992-05-02,Alm. Salg,7210.0,6.0,Villa,147.0,1930.0,0.0,,,1992
1255361,Solbyen 94,9000 Aalborg,725000,1992-04-02,Alm. Salg,6590.0,5.0,Rækkehus,110.0,1956.0,0.0,,,1992
1255362,"Poul Buås Vej 34, 2. TV",9000 Aalborg,340000,1992-02-02,Alm. Salg,4722.0,3.0,Lejlighed,72.0,1952.0,0.0,,,1992
1255363,Mirabellevej 14,9000 Aalborg,695000,1992-01-30,Alm. Salg,,4.0,Villa,193.0,1963.0,0.0,,,1992
1255364,Søndervangsvej 71,9000 Aalborg,550000,1992-01-29,Alm. Salg,4741.0,4.0,Rækkehus,116.0,1966.0,0.0,,,1992
1255365,"Sofievej 186, 2",9000 Aalborg,330000,1992-01-28,Alm. Salg,3837.0,3.0,Lejlighed,86.0,1963.0,0.0,,,1992
1255366,"Jakob Skomager Vej 12, ST. TH",9000 Aalborg,1100000,1992-01-23,Fam. Salg,7236.0,3.0,Lejlighed,152.0,1970.0,0.0,,,1992
1255367,Filippavej 20,9000 Aalborg,774400,1992-01-20,Fam. Salg,4400.0,5.0,Villa,176.0,1973.0,0.0,,,1992
1255368,"Østre Alle 42, 2. TH",9000 Aalborg,229000,1992-01-17,Alm. Salg,4089.0,2.0,Lejlighed,56.0,1932.0,0.0,,,1992
1255369,Hvepsevej 33,9000 Aalborg,80000,1992-01-13,Alm. Salg,,4.0,Sommerhus,65.0,1988.0,0.0,,,1992
1255370,"Ved Stranden 9A, 1. TV",9000 Aalborg,396000,1992-10-01,Alm. Salg,3046.0,6.0,Lejlighed,130.0,1900.0,0.0,,,1992
1255371,Paludan Müllers Vej 39,9000 Aalborg,485000,1992-09-01,Alm. Salg,5388.0,3.0,Villa,90.0,1956.0,0.0,,,1992
1255372,Kålundsvej 8,9000 Aalborg,545000,1992-07-01,Fam. Salg,4467.0,4.0,Villa,122.0,1952.0,0.0,,,1992
1255373,"Snerlevej 11, ST. TV",9000 Aalborg,310000,1992-06-01,Alm. Salg,4078.0,2.0,Lejlighed,76.0,1958.0,0.0,,,1992
1255374,Klokkestøbergade 16,9000 Aalborg,395000,1992-06-01,Alm. Salg,7900.0,4.0,Rækkehus,50.0,1890.0,0.0,,,1992
1255375,Petersborgvej 66,9000 Aalborg,492494,1992-06-01,Andet,3759.0,5.0,Villa,131.0,1930.0,0.0,,,1992
1255376,M.A. Schultz Vej 14,9000 Aalborg,1125000,1992-03-01,Alm. Salg,5921.0,8.0,Villa,190.0,1934.0,0.0,,,1992
