,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,longitude,latitude,sell_year
645425,Skt. Jørgens Gade 77,5000 Odense C,545000,1992-09-17,Alm. Salg,3949.0,6.0,Lejlighed,138.0,1897.0,0.0,,,1992
645426,"Sdr. Boulevard 254, ST",5000 Odense C,440000,1992-09-16,Alm. Salg,3893.0,4.0,Lejlighed,113.0,1916.0,0.0,,,1992
645427,Nørrevoldgade 31,5000 Odense C,510000,1992-09-15,Alm. Salg,3984.0,4.0,Dobbelthus,128.0,1912.0,0.0,,,1992
645428,Skt. Jørgens Gade 181,5000 Odense C,257419,1992-09-14,Fam. Salg,1865.0,6.0,Villa,138.0,1885.0,0.0,,,1992
645429,"Nyborgvej 10D, 2. 3",5000 Odense C,350000,1992-09-14,Alm. Salg,6481.0,2.0,Lejlighed,54.0,1989.0,0.0,,,1992
645430,Segelckesvej 5,5000 Odense C,829600,1992-07-09,Alm. Salg,5185.0,6.0,Villa,160.0,1930.0,0.0,,,1992
645431,"Skibhusvej 99B, 1",5000 Odense C,550000,1992-02-09,Alm. Salg,,7.0,Lejlighed,191.0,1902.0,0.0,,,1992
645432,Windelsvej 76,5000 Odense C,650000,1992-08-27,Alm. Salg,4482.0,5.0,Villa,145.0,1937.0,0.0,,,1992
645433,Marienlystvej 17,5000 Odense C,425000,1992-08-24,Alm. Salg,5120.0,4.0,Rækkehus,83.0,1910.0,0.0,,,1992
645434,"Kochsgade 4, ST. TH",5000 Odense C,325000,1992-08-14,Alm. Salg,3350.0,3.0,Lejlighed,97.0,1933.0,0.0,,,1992
645435,Sigvaldsvej 5,5000 Odense C,695000,1992-10-08,Alm. Salg,5650.0,4.0,Villa,123.0,1926.0,0.0,,,1992
645436,Johannevej 20,5000 Odense C,300388,1992-04-08,Alm. Salg,4551.0,4.0,Villa,66.0,1925.0,0.0,,,1992
645437,H.C. Andersens Gade 64,5000 Odense C,655000,1992-07-31,Alm. Salg,,4.0,Rækkehus,168.0,1900.0,0.0,,,1992
645438,Palnatokesvej 23,5000 Odense C,510000,1992-07-29,Alm. Salg,5666.0,4.0,Villa,90.0,1927.0,0.0,,,1992
645439,Døckerslundsvej 161,5000 Odense C,710000,1992-07-24,Fam. Salg,4251.0,7.0,Villa,167.0,1969.0,0.0,,,1992
645440,"Rødegårdsvej 63, 1. TV",5000 Odense C,327800,1992-07-23,Alm. Salg,5121.0,2.0,Lejlighed,64.0,1938.0,0.0,,,1992
645441,Rasmus Nielsens Vej 30,5000 Odense C,242034,1992-07-22,Alm. Salg,,4.0,Villa,101.0,1934.0,0.0,,,1992
645442,Mågevej 16,5000 Odense C,361500,1992-07-17,Alm. Salg,4355.0,5.0,Villa,83.0,1927.0,0.0,,,1992
645443,Rasmus Rasks Vej 10,5000 Odense C,375000,1992-07-14,Alm. Salg,3232.0,5.0,Rækkehus,116.0,1923.0,0.0,,,1992
645444,Glentevej 26,5000 Odense C,620000,1992-08-07,Alm. Salg,3483.0,6.0,Villa,178.0,1925.0,0.0,,,1992
645445,Helenevej 17,5000 Odense C,166100,1992-02-07,Alm. Salg,1866.0,4.0,Rækkehus,89.0,1922.0,0.0,,,1992
645446,Horsetorvet 6,5000 Odense C,815000,1992-01-07,Alm. Salg,,6.0,Rækkehus,144.0,1826.0,0.0,,,1992
645447,Marienlystvej 8,5000 Odense C,450000,1992-06-30,Alm. Salg,7500.0,3.0,Villa,60.0,1912.0,0.0,,,1992
645448,Østerbro 69,5000 Odense C,430000,1992-06-30,Alm. Salg,4673.0,3.0,Villa,92.0,1931.0,0.0,,,1992
645449,Emilievej 18,5000 Odense C,205769,1992-06-26,Fam. Salg,1773.0,4.0,Villa,116.0,1900.0,0.0,,,1992
645450,"Grønløkkevej 16, 1. TH",5000 Odense C,2995000,1992-06-23,Alm. Salg,39933.0,4.0,Lejlighed,75.0,1962.0,0.0,,,1992
645451,Kongelysvej 12,5000 Odense C,655000,1992-06-19,Alm. Salg,5954.0,4.0,Villa,110.0,1954.0,0.0,,,1992
645452,Døckerslundsvej 174,5000 Odense C,720000,1992-05-27,Fam. Salg,5106.0,4.0,Villa,141.0,1969.0,0.0,,,1992
645453,Annasholmsgade 7,5000 Odense C,690000,1992-05-27,Alm. Salg,4569.0,5.0,Rækkehus,151.0,1908.0,0.0,,,1992
645454,Gerthasminde 33,5000 Odense C,530000,1992-05-14,Alm. Salg,7162.0,3.0,Rækkehus,74.0,1924.0,0.0,,,1992
645455,Dronning Olgas Vej 46,5000 Odense C,800000,1992-05-14,Fam. Salg,5517.0,6.0,Villa,145.0,1923.0,0.0,,,1992
645456,"H. Rasmussens Vej 15, 2. TH",5000 Odense C,82393,1992-12-05,Alm. Salg,1471.0,2.0,Lejlighed,56.0,1938.0,0.0,,,1992
645457,"Christiansgade 88, ST. TH",5000 Odense C,360000,1992-11-05,Alm. Salg,5217.0,2.0,Lejlighed,69.0,1938.0,0.0,,,1992
645458,"Guldbergsvej 12, 2. TV",5000 Odense C,465000,1992-11-05,Alm. Salg,4946.0,4.0,Lejlighed,94.0,1929.0,0.0,,,1992
645459,Ibsensvej 26,5000 Odense C,770000,1992-05-05,Alm. Salg,4812.0,6.0,Villa,160.0,1936.0,0.0,,,1992
645460,Victoriagade 30B,5000 Odense C,520000,1992-04-05,Alm. Salg,3333.0,5.0,Villa,156.0,1934.0,0.0,,,1992
645461,Østerbro 78,5000 Odense C,510000,1992-04-05,Alm. Salg,4636.0,4.0,Villa,110.0,1947.0,0.0,,,1992
645462,Sdr. Boulevard 52D,5000 Odense C,454000,1992-04-05,Alm. Salg,8254.0,2.0,Lejlighed,55.0,1988.0,0.0,,,1992
645463,Ærøgade 12,5000 Odense C,744000,1992-01-05,Alm. Salg,5723.0,3.0,Villa,130.0,1932.0,0.0,,,1992
645464,Overstræde 1C,5000 Odense C,827000,1992-04-29,Alm. Salg,7254.0,3.0,Rækkehus,114.0,1980.0,0.0,,,1992
645465,Egebæksvej 23,5000 Odense C,375000,1992-04-29,Alm. Salg,3906.0,5.0,Villa,96.0,1934.0,0.0,,,1992
645466,Karl Withs Vej 1,5000 Odense C,740000,1992-04-27,Alm. Salg,6218.0,5.0,Villa,119.0,1923.0,0.0,,,1992
645467,Johannevej 37,5000 Odense C,710000,1992-04-24,Alm. Salg,5071.0,5.0,Villa,140.0,1931.0,0.0,,,1992
645468,Baumgartensvej 41,5000 Odense C,535000,1992-04-22,Alm. Salg,5459.0,4.0,Villa,98.0,1925.0,0.0,,,1992
645469,Kragsbjergvej 4,5000 Odense C,598000,1992-08-04,Alm. Salg,4784.0,5.0,Villa,125.0,1929.0,0.0,,,1992
645470,Enighedsvej 40,5000 Odense C,467000,1992-07-04,Alm. Salg,4096.0,4.0,Villa,114.0,1977.0,0.0,,,1992
645471,Irenevej 15,5000 Odense C,737600,1992-06-04,Alm. Salg,,7.0,Villa,163.0,1954.0,0.0,,,1992
645472,"Holmehusvej 81, ST. TV",5000 Odense C,1626625,1992-06-04,Alm. Salg,24277.0,3.0,Lejlighed,67.0,1943.0,0.0,,,1992
645473,Thorkildsgade 10,5000 Odense C,690000,1992-03-31,Alm. Salg,5847.0,4.0,Villa,118.0,1911.0,0.0,,,1992
645474,Dronning Olgas Vej 8,5000 Odense C,650000,1992-03-31,Fam. Salg,4113.0,6.0,Villa,158.0,1912.0,0.0,,,1992
645475,"Skibhusvej 177, 1. TV",5000 Odense C,375000,1992-03-31,Alm. Salg,5357.0,3.0,Lejlighed,70.0,1939.0,0.0,,,1992
645476,"Hans Tausens Gade 13, 2. TV",5000 Odense C,610000,1992-03-23,Alm. Salg,4621.0,4.0,Lejlighed,132.0,1899.0,0.0,,,1992
645477,"Istedvænget 4, 3. TH",5000 Odense C,585000,1992-06-03,Alm. Salg,5571.0,4.0,Lejlighed,105.0,1928.0,0.0,,,1992
645478,Reventlowsvej 28,5000 Odense C,763452,1992-02-29,Alm. Salg,5376.0,6.0,Villa,142.0,1930.0,0.0,,,1992
645479,"Vesterbro 75, 1. TH",5000 Odense C,261628,1992-02-28,Alm. Salg,3354.0,3.0,Lejlighed,78.0,1887.0,0.0,,,1992
645480,Tesdorpfsvej 49,5000 Odense C,830000,1992-02-28,Alm. Salg,6974.0,5.0,Villa,119.0,1934.0,0.0,,,1992
645481,Ærøgade 42,5000 Odense C,550000,1992-02-21,Alm. Salg,4782.0,6.0,Villa,115.0,1930.0,0.0,,,1992
645482,"Sdr. Boulevard 58K, 1",5000 Odense C,810000,1992-02-19,Alm. Salg,7864.0,3.0,Lejlighed,103.0,1990.0,0.0,,,1992
645483,"Klostervej 24B, 3. TV",5000 Odense C,410000,1992-12-02,Alm. Salg,4059.0,3.0,Lejlighed,101.0,1913.0,0.0,,,1992
645484,"Henriettevej 3B, 3. TH",5000 Odense C,478750,1992-10-02,Alm. Salg,6469.0,2.0,Lejlighed,74.0,1906.0,0.0,,,1992
645485,Windelsvej 52,5000 Odense C,375000,1992-06-02,Alm. Salg,2435.0,6.0,Villa,154.0,1936.0,0.0,,,1992
645486,Tesdorpfsvej 17,5000 Odense C,855000,1992-05-02,Alm. Salg,4857.0,6.0,Villa,176.0,1938.0,0.0,,,1992
645487,"Albanigade 7, 1",5000 Odense C,440000,1992-01-29,Alm. Salg,2894.0,5.0,Lejlighed,152.0,2010.0,0.0,,,1992
645488,Annasholmsgade 36,5000 Odense C,735000,1992-01-28,Alm. Salg,5034.0,4.0,Villa,146.0,1926.0,0.0,,,1992
645489,Svendsgade 20,5000 Odense C,810000,1992-01-24,Alm. Salg,6279.0,5.0,Villa,129.0,1985.0,0.0,,,1992
645490,"Kochsgade 55, ST. 6",5000 Odense C,115000,1992-01-21,Alm. Salg,3194.0,1.0,Lejlighed,36.0,1962.0,0.0,,,1992
645491,Mads Hansens Vej 11,5000 Odense C,768600,1992-01-15,Alm. Salg,5193.0,6.0,Villa,148.0,1922.0,0.0,,,1992
645492,"Filosofgangen 14, 2",5000 Odense C,1300000,1992-01-13,Alm. Salg,13000.0,3.0,Lejlighed,100.0,1899.0,0.0,,,1992
645493,Skippervænget 4,5000 Odense C,375000,1992-10-01,Alm. Salg,,4.0,Rækkehus,117.0,1810.0,0.0,,,1992
645494,Sophie Breums Vej 7,5000 Odense C,510000,1992-10-01,Alm. Salg,,4.0,Villa,131.0,1934.0,0.0,,,1992
645495,Døckerslundsvej 143,5000 Odense C,350000,1992-09-01,Alm. Salg,,4.0,Villa,102.0,1948.0,0.0,,,1992
645496,"Kochsgade 8, 1. TH",5000 Odense C,98802,1992-09-01,Alm. Salg,1317.0,2.0,Lejlighed,75.0,1935.0,0.0,,,1992
645497,"Schacksgade 26, ST. TV",5000 Odense C,377000,1992-08-01,Alm. Salg,5890.0,2.0,Lejlighed,64.0,1930.0,0.0,,,1992
